target,horizon,candidate,fold,evaluation_stage,n,mae,rmse,mae_calibrated,n_features,mean_slope,zero_mae
samsung,20,full_plus_A,dev_07,dev_fold,121,0.05399822357013249,,,,,0.05453007980237695
samsung,20,full_plus_A,dev_08,dev_fold,123,0.09342073788201107,,,,,0.07709427349915471
samsung,20,full_plus_A,dev_09,dev_fold,117,0.04818095011399522,,,,,0.050582678256604424
samsung,20,inner_selected,dev_all,dev_common,1086,0.05428204954210354,0.07109692854374684,0.05267739818584705,,,
samsung,20,inner_selected,dev_01,dev_fold,123,0.03117148692566007,,,,,0.02443764540457775
samsung,20,inner_selected,dev_02,dev_fold,125,0.05175687992697304,,,,,0.0494481373447924
samsung,20,inner_selected,dev_03,dev_fold,108,0.06142859077945963,,,,,0.05511537872073959
samsung,20,inner_selected,dev_04,dev_fold,125,0.05409866622782556,,,,,0.05359914257642141
samsung,20,inner_selected,dev_05,dev_fold,123,0.05576750775121464,,,,,0.046202301301395514
samsung,20,inner_selected,dev_06,dev_fold,121,0.03944760113253581,,,,,0.040052940593539185
samsung,20,inner_selected,dev_07,dev_fold,121,0.053379576782704066,,,,,0.05453007980237695
samsung,20,inner_selected,dev_08,dev_fold,123,0.09395545540278583,,,,,0.07709427349915471
samsung,20,inner_selected,dev_09,dev_fold,117,0.04788007556966411,,,,,0.050582678256604424
